# Lines from fig 4.56 2203.05090
# m_aprime [GeV] (dark photon)    Gaggprime (photon - dark photon - axion) [1/GeV]
0.0010207107565345288    0.046327462087080724
0.001050366780039382    0.008918884893898903
0.0011467902561897658    0.0022596296621344948
0.001368183316871059    0.000727967182373061
0.0016327064423087097    0.00036641661242266526
0.002097756408659204    0.0002115757253781502
0.0030780692639799908    0.00011406249238513227
0.004651812837204484    0.00006149217801737427
0.006340770884980028    0.000040732201937673705
0.009304590080700057    0.00002519081601757147
0.016059845394803686    0.00001405484585709216
0.03165758510690443    0.000007841694843423479
0.04784861880254977    0.000005194311019617668
0.07786248083411218    0.0000036851878219764533
0.1534986199454538    0.0000024410554217251815
0.1972780807669849    0.0000024410554217251815
0.22868052291107116    0.000002999291201752707
0.24990693531007918    0.000004375158478621455
0.2536787690618892    0.000006605044933079798
0.23570900498472908    0.000012251767812972985
0.20343091166706476    0.00002272593389807714
0.16070155046073756    0.00004672671147487545
0.10176087320322313    0.00015534752835119132
0.058115727314038135    0.000572484819653951
0.03270545251552097    0.002338536212406835
0.022292181587193562    0.005515881237844426
0.01541953755110377    0.011737219254280177
0.011148409995125116    0.024132854564824044
0.007825894739670354    0.04961947603002898
0.004602773341914339    0.14882325789244527
0.001713840405132284    0.9829843054669216
