# Lines from fig 4.56 2203.05090
# m_aprime [GeV] (dark photon)    Gaggprime (photon - dark photon - axion) [1/GeV]
0.001005276188532829    0.018978455660928678
0.0014752190291995187    0.012571262124228504
0.0024360699776068335    0.007642400860980194
0.0037922235609601706    0.004891488015261467
0.0065456679954022925    0.0029230652454971394
0.012163131144635256    0.0016031307485487721
0.01979139240826866    0.0010086179853116902
0.03220499500880533    0.0006796700557985974
0.04521882971057412    0.000572484819653951
0.07469027436842121    0.000562743592837896
0.17070035811713524    0.0005531681197617227
0.6835944605566847    0.0005531681197617227
2.4688733146545188    0.000572484819653951
5.014721912880171    0.000727967182373061
6.351243090742784    0.0008944432583645161
7.5830778884809495    0.0011770839918697259
8.922319751035118    0.0019697446877234015
10.201681557213847    0.01712144332827504
