# Lines from fig 4.56 2203.05090
# m_aprime [GeV] (dark photon)    Gaggprime (photon - dark photon - axion) [1/GeV]
0.001005608025511303    0.03520333844240501
0.0013707947985553378    0.025847727129205206
0.002041558257388898    0.017719326269606768
0.003683228808714402    0.009552657867930492
0.007368031757719616    0.004808255949381564
0.010044102414661794    0.0037812879573204386
0.014740023248145877    0.002682695795279722
0.018122490012811954    0.0024201981892785847
0.02507422877506903    0.0022596296621344948
0.042657639017589136    0.0022596296621344948
0.08792236851030213    0.0022596296621344948
0.21954690203040317    0.0021833855652562345
0.8922810552886649    0.0021833855652562345
2.660017756829362    0.0024201981892785847
4.329591142603184    0.002682695795279722
6.450531152649581    0.003653700286573438
8.797397115760392    0.0067772873648594455
10.202991019165841    0.021771492325994693
10.375801615987326    0.9829843054669216
