# Lines from fig 4.56 2203.05090
# m_aprime [GeV] (dark photon)    Gaggprime (photon - dark photon - axion) [1/GeV]
0.0009891858846456023    0.0014462669012421543
0.001096735565089282    0.0011770839918697259
0.0013483100617233087    0.0009256773287587004
0.001921022314434511    0.00059247606112115
0.0028191581891516505    0.0004203417078819705
0.004795049777218019    0.0002784328654522126
0.00780225425531441    0.00017219670808821735
0.011117382502678323    0.00013084893323323302
0.018090950244819926    0.00009283288841360396
0.023248126488215427    0.00007555459284647313
0.031695337559819264    0.00007300524071452168
0.03362731161820722    0.00009283288841360396
0.03363224459642742    0.00012216773489967905
0.03171045114378546    0.000178209838660534
0.02818382931264455    0.0002511886431509577
0.025422356155567604    0.00036641661242266526
0.01838185068196172    0.0008642630834510608
0.012905238810701901    0.0022596296621344948
0.0077037415450054506    0.00804618589576145
0.005250808150031519    0.01833808735798968
0.003909960053751158    0.03520333844240501
0.0017634731374063948    0.1593985887641424
0.001006991859052288    0.4619513847492704
