# Lines from fig 8 of https://arxiv.org/abs/2210.00751 
# Note: this is hidden energy search for invisibly decaying G (massive spin-2 mediator)!
# m_G [GeV]    c_l [1/GeV]
0.001    0.000008064985897289764
0.010392131456009469    0.00000794422890724045
0.015481939310033464    0.000007828944036277263
0.024221806478781294    0.000008045959872342371
0.05047927815161903    0.000008382012194682303
0.09275771421141311    0.000008857008796627814
0.1623029821527506    0.000010180505979797424
0.29409591360629556    0.000011866256749078376
0.42605032013854444    0.00001364334249636415
0.5715096111056963    0.000016592790069052935
0.8107441560023058    0.000021044405892935118
1.0    0.000028632140212425186
