# Lines from fig 8 of https://arxiv.org/abs/2210.00751 
# Note: this is hidden energy search for invisibly decaying G (massive spin-2 mediator)!
# m_G [GeV]    c_l [1/GeV]
0.001    0.000051992833007255655
0.008786414620239104    0.000051226333225944614
0.013650723086061307    0.00005119200964971399
0.01936493061913384    0.00005045287993620516
0.031156304360648895    0.00004902316906460742
0.0429791085348881    0.00004764512319804962
0.05685198516199864    0.000046308770332775464
0.08236022793300997    0.00004563869000170717
0.10743143063465106    0.00004562024268391544
0.14923820965892723    0.00004755498029372652
0.20731403361781398    0.00005098058401011522
0.3066989045194361    0.0000594405991200057
0.411410022157588    0.00007128474861684469
0.5366469759381093    0.00009042100285145594
0.7000071978635576    0.00012651393541596352
1.00    0.0002153636415732866
