# Lines from fig 8 of https://arxiv.org/abs/2210.00751 
# Note: this is hidden energy search for invisibly decaying G (massive spin-2 mediator)!
# m_G [GeV]    c_l [1/GeV]
0.001    0.000018434833626088362
0.00813584057383759    0.00001842150162633448
0.011381206592465477    0.000018412096608397896
0.01922997588233649    0.00001814142990510146
0.02864834041062668    0.0000178781655367005
0.042382150725198714    0.00001761890904992255
0.07842546447156666    0.00001687783869799376
0.10970918187989304    0.00001663450398899162
0.15782568267257377    0.000016859891771796075
0.3088512977511655    0.000017321344536007003
0.46987439200439524    0.000018566512487267414
0.7507140835593507    0.000021046868862339465
1.0    0.000023533375085760045
